Indices,A8_ECG
333,-48276.811029705554
334,-48158.51220060308
335,-47776.22325725348
336,-47106.905780774636
337,-46339.01355089782
338,-45410.910327232246
339,-44507.85142954332
340,-43665.59816819926
341,-42749.44248202602
342,-41815.086985555834
343,-40794.073488343485
344,-39674.952221834246
345,-38540.99838492617
346,-37377.59712239141
347,-35970.75502400793
348,-34312.96170545115
349,-32497.127568580727
350,-30467.784780110895
351,-28369.31078509304
352,-26210.6691982687
353,-23872.77825016239
354,-21386.473262371223
355,-19128.78673881176
356,-17123.095450128374
357,-15213.285953630102
358,-13503.88661793073
359,-11747.903909392158
360,-9936.779149693259
361,-8287.583751825628
362,-6753.2483788927
363,-5104.417903856779
364,-3351.1852065437397
365,-1575.96373005125
366,273.56059209149726
367,1999.6438825623504
368,3588.167859726445
369,5177.746541164099
370,6721.488289608201
371,8513.954995810635
372,10596.986930853702
373,12796.26606933235
374,15198.249426650702
375,17663.07702108391
376,20178.649552590876
377,22892.254369887793
378,25776.864726274925
379,28567.936684452347
380,31263.61830883136
381,33975.16220877914
382,36637.453468862885
383,39445.33486458261
384,42412.87202996031
385,45390.02925631732
386,48421.08922022068
387,51125.333276914695
388,53447.356041009625
389,55597.157288739785
390,57459.90888153954
391,59218.44514445848
392,60882.500938922894
393,62254.83065944468
394,63366.729604618165
395,64547.50326241377
396,65793.97024930705
397,66962.01897033869
398,68128.88866515318
399,69041.3670833259
400,69676.83922098373
401,70220.8921554099
402,70612.19791748648
403,71058.12250704781
404,71596.09362904227
405,72081.09675744644
406,72574.94547886112
407,72995.69967173194
408,73331.19040554714
409,73676.8260371892
410,74015.32668306302
411,74118.3584940254
412,73978.78817544424
413,73694.75951214154
414,73207.40995639357
415,72672.86803998778
416,72100.85735913186
417,71363.73846937796
418,70495.04206993798
419,69859.65495110133
420,69478.87348646259
421,69204.27475356801
422,69136.70645402583
423,69034.18455031612
424,68888.6300963536
425,68911.26761270064
426,69055.93657231148
427,69105.08389880546
428,69068.91623664994
429,69024.63562748095
430,68922.8115304961
431,68952.62837264023
432,69127.51017647579
433,69315.42080616317
434,69561.2627126519
435,69574.61520327817
436,69314.74447662641
437,68952.55882913836
438,68402.95241138723
439,67804.87612094209
440,67170.19996492195
441,66353.33003987138
442,65381.14356963718
443,64512.58597370862
444,63749.312508709445
445,62982.71176183741
446,62276.47975788028
447,61439.49769230333
448,60458.006435055955
449,59479.0174528463
450,58459.091770233805
451,57485.05999742659
452,56581.72346563409
453,55677.04070260898
454,54800.119622172206
455,53935.54705247209
456,53079.253965104675
457,52266.15115300993
458,51494.52327816262
459,50646.907868898445
460,49719.84954578973
461,48770.435933493085
462,47769.51764470209
463,46796.130312540045
464,45857.65190704188
465,44891.276296090036
466,43915.59387946825
467,42923.72813213074
468,41908.28144131033
469,40886.224053052756
470,39854.00831339737
471,38801.9121184564
472,37731.33527219228
473,36643.77741984047
474,35537.29874492366
475,34443.61458111139
476,33365.36848820219
477,32285.997136946902
478,31214.117735021526
479,30132.19360032033
480,29038.80602426236
481,27950.144931537932
482,26862.54086306866
483,25634.030516583825
484,24252.38840984635
485,22781.792714143212
486,21181.853862588614
487,19538.17155803287
488,17853.975917044892
489,16049.934133786383
490,14141.895553005319
491,12225.531493539629
492,10297.60600578781
493,8320.937683313765
494,6317.441221226454
495,4207.47119856012
496,1984.7412745456725
497,-294.361420634355
498,-2648.9693976051
499,-4980.946244210546
500,-7275.561841882988
501,-9593.75678434394
502,-11906.732433491929
