Index,Filtered_Signal
235,43697.044530
236,181995.095654
237,216879.336932
238,306383.515583
239,333575.182891
240,172854.039847
241,206584.806786
242,-288365.932539
243,1325443.233734
244,-273371.173885
245,-1094885.829402
246,-183191.786826
247,-15055.266370
248,-623550.850690
249,247495.278644
250,464047.236866
251,350257.985217
252,238046.854481
253,194128.095467
254,149621.871991
255,82566.688748
256,9945.631786
257,-61678.468613
258,1388.103850
259,-35290.064694
260,-201682.862834
261,-205735.500269
262,-103488.517353
263,64668.193746
264,97833.035867
265,129274.908000
266,193560.439756
267,103288.759455
268,73304.395913
269,53998.748808
270,-32319.271966
271,-128812.012132
272,-194934.667212
273,-108157.264126
274,13690.148748
275,59046.909306
276,28474.077590
277,96883.883323
278,113393.442442
279,185242.625200
280,379435.442603
281,316169.502412
282,218706.610410
283,21626.121372
284,-764788.267929
285,-62803.719424
286,714669.399229
287,221372.479616
288,-129863.909081
289,-553307.280848
290,-401616.213187
291,252437.432490
292,304407.440229
293,298418.934617
294,218036.203666
295,207347.317688
296,16932.569830
297,-240052.154407
298,-201098.229051
299,-51614.190318
300,-100843.289526
301,388157.120761
302,48265.157711
303,-153827.480527
304,-4169.599237
305,70476.204169
306,-98696.443466
307,-101440.898846
308,-290557.847742
309,-700101.154372
310,1081935.635223
311,314920.873717
312,-247087.906610
313,64017.008263
314,-79220.741297
315,229781.885670
316,669750.965880
317,520868.344948
318,347645.689420
319,193154.568835
320,281547.413813
321,66543.835816
322,-250232.101494
323,-143884.744925
324,191075.866229
325,217536.857367
326,44807.267336
327,150549.040291
328,-77865.696316
329,-107429.628655
330,-109086.597673
331,-71890.411879
332,48137.635741
333,31347.722962
334,-24731.521840
335,-227961.171807
336,-205347.100863
337,-227731.971350
338,-396852.304249
339,-543434.225782
340,-665625.219693
341,-555647.121172
342,-745398.052188
343,-588153.697284
344,-435958.661158
345,-159820.227971
346,292711.258856
347,242714.330560
348,-370721.387805
349,-44883.400309
350,1386977.158030
351,1801729.733040
352,-141805.611830
353,-1357119.116849
354,361511.675976
355,473960.527280
356,-403818.437839
357,-971945.333978
358,220800.663059
359,859260.513753
360,279403.645214
361,137575.934609
362,74596.584896
363,-598975.122926
364,-932352.741263
365,-832664.207315
366,-317214.115544
367,11112.172210
368,-577923.885906
